StationType	PANGAEA Sample ID	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Station	Feature	Filter size	16S.miTag	0.8.5.Barcode	5.20.Barcode	20.180.Barcode	180.2000.Barcode	OG	0.8.5.OTU	5.20.OTU	20.180.OTU	180.2000.OTU	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 	Mean_Date [YY/MM/DD hh:mm]	Mean_Lat	Mean_Long	Mean_Depth [m]	Mean_Temperature [deg C]	Mean_Salinity [PSU]	Mean_Oxygen [umol/kg]	Mean_Nitrates[umol/L]	NO2 [umol/L]	PO4 [umol/L]	NO2NO3 [umol/L]	SI [umol/L]	AMODIS:PAR8d,Einsteins/m-2/d-1	Okubo-Weiss	Lyapunov_exp.	grad_SST_adv	retention	Mean Depth MLD Sigma [m]	Mean Depth Max Fluo [m]	Mean Depth Max N2 [m]	Mean Depth Max O2 [m]	Mean Depth Min O2 [m]	Mean Depth Nitracline [m]	miTAG.SILVA.Taxo.Richness	miTAG.SILVA.Phylo.Diversity	miTAG.SILVA.Chao	miTAG.SILVA.ace	miTAG.SILVA.Shannon	OG.Shannon	OG.Richness	OG.Evenness	FC - heterotrophs [cells/mL]	FC - autotrophs [cells/mL]	FC - bacteria [cells/mL]	FC - picoeukaryotes [cells/mL]	minimum generation time [h]
TARA_004_SRF	TARA_Y200000002	TARA_004	2009-09-15T11:30	36.5533	-6.5669	5	TARA_004	SRF	0.22-1.6	6.64	6.72870023	3.55422016		3.99309627	7.15	4.37999737	1.9072198		2.15068415	0.22	1.6	Westerlies Biome	(NAO) North Atlantic Ocean [MRGID:1912]	(NAST-E) North Atlantic Subtropical Gyral Province [MRGID:21467]	9/15/2009 10:15	36.55	-6.57	10	20.5	36.6							39.9	0.01	0.02		0	4	38	18				2718	406	3763	3680	6.64	7.15	14591	0.745	839531	54593	894124	1222	15
TARA_007_SRF	TARA_A200000113	TARA_007	2009-09-23T12:50	37.051	1.9378	5	TARA_007	SRF	0.22-1.6	6.53	7.08361508	5.87337235	4.78619757	4.28834946	7.2	4.65409717	3.51801144	2.66921598	2.639291	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	9/23/2009 15:06	37.02	1.95	7.5	23.8	37.5			0	0.06	0.03	0.52	29.9	-0.79	0		4.92	18	44	41				2592	401	3872	3729	6.53	7.2	15495	0.746	1004684	50586	1055270	813	14
TARA_009_SRF	TARA_X000000950	TARA_009	2009-09-28T12:18	39.1633	5.916	5	TARA_009	SRF	0.22-1.6	6.62	7.21250392	7.48282127		4.82984583	7.22	4.63643031	3.76927743		2.70438655	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	9/28/2009 13:36	39.07	5.86	5.8	23.9	38			0.01	0.02	0.03	0.75	26.7	-0.77	0.08	0.69	13.61	21	53	35				2741	414	3983	3865	6.62	7.22	15315	0.75	901463	39330	940793	1231	17
TARA_018_SRF	TARA_A100000164	TARA_018	2009-11-02T08:13	35.759	14.2574	5	TARA_018	SRF	0.22-1.6	6.61	7.16525625	4.86928541	4.29791963	4.00125588	7.14	4.34153883	1.93076993	1.53497775	1.20721686	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/2/2009 8:18	35.76	14.26	5.4	21.4	37.9	207.8		0.02	0.03	0.12	0.56	22	0.14	0		7.67	39	84	57	56	395		2754	423	4030	3931	6.61	7.14	14161	0.747	633618	39180	672798	947	14
TARA_022_SRF	TARA_S200002703	TARA_022	2009-11-16T08:16	39.8386	17.4155	5	TARA_022	SRF	0.22-1.6		6.06921992	4.9313625	5.21445068	5.28031401		3.85398002	2.69238441	3.04478488	2.915435	<0.22	<0.22	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/16/2009 8:06	39.84	17.4	5.5	17	37.8	220.9		0.07	0.02	0.21	2.03	16.1	-0.64	0		7.75	9	18	56	29	371										534102	68298	602400	2251	
TARA_023_SRF	TARA_E500000075	TARA_023	2009-11-18T08:41	42.2038	17.715	5	TARA_023	SRF	0.22-1.6	6.58	7.42425146	4.62988067	4.88182286	3.52516611	7.13	5.25222768	2.42438311	2.63971129	1.72222995	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/18/2009 8:23	42.21	17.71	5.5	17.6	38.2	220		0.01	0.01	0.04	1.38	7.7	-0.39	0		1.89	9	54	55	32	157		2658	408	3735	3632	6.58	7.13	14477	0.745	746759	57854	804613	1499	18
TARA_025_SRF	TARA_E500000178	TARA_025	2009-11-23T09:12	39.3888	19.3905	5	TARA_025	SRF	0.22-1.6	6.71	7.3901212	4.32032451	4.350208	3.68201875	7.17	4.90500575	1.61010032	2.32861477	1.54766207	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	11/23/2009 9:14	39.39	19.39	5.5	18.3	38.2	218		0	0.01	0.03	1.05	13.6	0.18	0.02		1.25	29	54	38	33	374		2724	419	3720	3635	6.71	7.17	14408	0.749	264404	34000	298404	1123	21
TARA_030_SRF	TARA_A100001015	TARA_030	2009-12-15T10:41	33.9179	32.898	5	TARA_030	SRF	0.22-1.6	6.38	6.90957239	3.7521073	4.42552376	4.04510343	7.12	4.34125924	0.87802299	1.54388638	1.7938057	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]	12/15/2009 10:40	33.92	32.89	5.4	20.5	39.4	207.6	-0.7	0	0	0.05	0.82	13.2	-0.86	0.03		40.81	41	77	66	65	260	307	2215	344	3185	3027	6.38	7.12	12612	0.754	232380	36418	268797	1225	15
TARA_031_SRF	TARA_A100001388	TARA_031	2010-01-09T07:15	27.16	34.835	5	TARA_031	SRF	0.22-1.6	6.35			4.61448179	4.2508503	7.08			2.15978918	1.61210973	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	(REDS) Red Sea, Persian Gulf Province [MRGID:21474]	1/9/2010 7:25	27.16	34.83	5.4	25.1	40	188.8	-0.1	0.01	0.02	0.03	0.82	28.2		0		0	45	84	90	33	401	139	2261	366	3358	3229	6.35	7.08	14134	0.74	473351	204723	678074	1192	13
TARA_032_SRF	TARA_A100001035	TARA_032	2010-01-11T07:21	23.36	37.2183	5	TARA_032	SRF	0.22-1.6	6.32	7.23998988	3.5563008	4.79431562	4.46770796	7.04	4.80301559	1.81744482	2.33462664	2.61226902	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	(REDS) Red Sea, Persian Gulf Province [MRGID:21474]	1/11/2010 7:27	23.36	37.22	5.4	25.8	39.7	188.4	-0.5	0.01	0.02	0	0.87	24.7		0		0	35	80	142	28	287	231	2142	348	2996	2934	6.32	7.04	13296	0.742	444313	206786	651100	1437	14
